nome,telefone,email,website,fonte,url_origem
Alex Osterno Prado - Advocacia Imobiliária e Sucessória,08836132602,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu&g_ep=EgoyMDI1MTEwOS4wIKXMDSoASAFQAw%3D%3D"
R Feitosa Group,08836955628,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu&g_ep=EgoyMDI1MTEwOS4wIKXMDSoASAFQAw%3D%3D"
Resultados,088981951949,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu&g_ep=EgoyMDI1MTEwOS4wIKXMDSoASAFQAw%3D%3D"
JK Advocacia,088992346262,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu&g_ep=EgoyMDI1MTEwOS4wIKXMDSoASAFQAw%3D%3D"
Escritório Marcelo Arruda | Corretor de Imóveis,088996071775,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu&g_ep=EgoyMDI1MTEwOS4wIKXMDSoASAFQAw%3D%3D"
Vasconcelos Advogados Associados,088994644528,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu&g_ep=EgoyMDI1MTEwOS4wIKXMDSoASAFQAw%3D%3D"
Paiva & Osterno - Advocacia,088992260949,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu&g_ep=EgoyMDI1MTEwOS4wIKXMDSoASAFQAw%3D%3D"
Escritório de advocacia Parente e Parente Sociedade de Advogados,088981852021,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu&g_ep=EgoyMDI1MTEwOS4wIKXMDSoASAFQAw%3D%3D"
Neto Linhares Advocacia,088996229265,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu&g_ep=EgoyMDI1MTEwOS4wIKXMDSoASAFQAw%3D%3D"
Oséas Rodrigues & Nogueira ADVOGADO CRIMINALISTA - ADVOGADO EM SOBRAL,088999395481,,,google_maps,"https://www.google.com/maps/search/advogados+corretoras/@-3.6841119,-40.3628131,15z?entry=ttu&g_ep=EgoyMDI1MTEwOS4wIKXMDSoASAFQAw%3D%3D"
